START_DATE,MATCH_ID,PLAYER_ID,BOWLER,OVERS,MAIDEN_BALLS,RUNS_GIVEN,WICKETS_TAKEN,ECONOMY,AVERAGE_BALL_SPEED,STRIKE_RATE,OPPOSITION,GROUND
24-Dec-09,ODI # 2935,49619,Suranga Lakmal,10,0,55,2,5.5,27.5,30, India,Kolkata
4-Jan-10,ODI # 2937,49619,Suranga Lakmal,9,1,63,2,7,31.5,27, Bangladesh,Dhaka
28-Jun-11,ODI # 3165,49619,Suranga Lakmal,7,0,52,2,7.42,26,21, England,The Oval
1-Jul-11,ODI # 3167,49619,Suranga Lakmal,7.5,0,43,3,5.48,14.33,15.6, England,Leeds
3-Jul-11,ODI # 3168,49619,Suranga Lakmal,10,0,62,2,6.2,31,30, England,Lord's
11-Nov-11,ODI # 3212,49619,Suranga Lakmal,4,0,16,2,4,8,12, Pakistan,Dubai (DSC)
13-Mar-12,ODI # 3259,49619,Suranga Lakmal,10,1,67,1,6.7,67,60, India,Dhaka
15-Mar-12,ODI # 3260,49619,Suranga Lakmal,8,1,37,2,4.62,18.5,24, Pakistan,Dhaka
20-Mar-12,ODI # 3265,49619,Suranga Lakmal,7.1,0,44,1,6.13,44,43, Bangladesh,Dhaka
11-Jul-13,ODI # 3388,49619,Suranga Lakmal,10,1,33,1,3.3,33,60, India,Port of Spain
31-Jul-13,ODI # 3401,49619,Suranga Lakmal,5.5,0,22,3,3.77,7.33,11.6, South Africa,Colombo (RPS)
18-Dec-13,ODI # 3445,49619,Suranga Lakmal,10,0,73,2,7.3,36.5,30, Pakistan,Sharjah
25-Dec-13,ODI # 3448,49619,Suranga Lakmal,9,0,49,1,5.44,49,54, Pakistan,Abu Dhabi
27-Dec-13,ODI # 3450,49619,Suranga Lakmal,7.3,0,42,3,5.6,14,15, Pakistan,Abu Dhabi
22-Feb-14,ODI # 3471,49619,Suranga Lakmal,10,3,24,2,2.4,12,30, Bangladesh,Dhaka
25-Feb-14,ODI # 3473,49619,Suranga Lakmal,9,1,65,2,7.22,32.5,27, Pakistan,Fatullah
3-Mar-14,ODI # 3481,49619,Suranga Lakmal,7,2,30,2,4.28,15,21, Afghanistan,Dhaka
6-Mar-14,ODI # 3485,49619,Suranga Lakmal,10,0,32,2,3.2,16,30, Bangladesh,Dhaka
6-May-14,ODI # 3490,49619,Suranga Lakmal,8,1,29,3,3.62,9.66,16, Ireland,Dublin
13-Dec-14,ODI # 3567,49619,Suranga Lakmal,8,0,30,4,3.75,7.5,12, England,Pallekele
16-Dec-14,ODI # 3569,49619,Suranga Lakmal,8,1,25,2,3.12,12.5,24, England,Colombo (RPS)
14-Feb-15,ODI # 3599,49619,Suranga Lakmal,10,0,62,2,6.2,31,30, New Zealand,Christchurch
22-Feb-15,ODI # 3609,49619,Suranga Lakmal,10,1,36,2,3.6,18,30, Afghanistan,Dunedin
26-Feb-15,ODI # 3615,49619,Suranga Lakmal,8,0,49,2,6.12,24.5,24, Bangladesh,Melbourne
1-Mar-15,ODI # 3619,49619,Suranga Lakmal,7.4,0,71,1,9.26,71,46, England,Wellington
11-Jul-15,ODI # 3664,49619,Suranga Lakmal,5,1,21,1,4.2,21,30, Pakistan,Dambulla
22-Jul-15,ODI # 3671,49619,Suranga Lakmal,8,0,50,1,6.25,50,48, Pakistan,Colombo (RPS)
1-Nov-15,ODI # 3701,49619,Suranga Lakmal,5,0,15,3,3,5,10, West Indies,Colombo (RPS)
4-Nov-15,ODI # 3702,49619,Suranga Lakmal,7,0,51,1,7.28,51,42, West Indies,Colombo (RPS)
7-Nov-15,ODI # 3704,49619,Suranga Lakmal,7,0,40,2,5.71,20,21, West Indies,Pallekele
18-Jun-16,ODI # 3749,49619,Suranga Lakmal,10,1,38,4,3.8,9.5,15, Ireland,Dublin (Malahide)
21-Jun-16,ODI # 3751,49619,Suranga Lakmal,10,0,65,2,6.5,32.5,30, England,Nottingham
26-Jun-16,ODI # 3755,49619,Suranga Lakmal,2,0,8,1,4,8,12, England,Bristol
29-Jun-16,ODI # 3757,49619,Suranga Lakmal,7,0,48,1,6.85,48,42, England,The Oval
2-Jul-16,ODI # 3758,49619,Suranga Lakmal,10,0,65,1,6.5,65,60, England,Cardiff
14-Nov-16,ODI # 3804,49619,Suranga Lakmal,7,0,19,2,2.71,9.5,21, Zimbabwe,Harare
16-Nov-16,ODI # 3805,49619,Suranga Lakmal,9.2,1,45,2,4.82,22.5,28, West Indies,Harare
23-Nov-16,ODI # 3808,49619,Suranga Lakmal,10,0,67,2,6.7,33.5,30, West Indies,Bulawayo
27-Nov-16,ODI # 3810,49619,Suranga Lakmal,6,0,23,1,3.83,23,36, Zimbabwe,Bulawayo
1-Feb-17,ODI # 3830,49619,Suranga Lakmal,7,0,54,2,7.71,27,21, South Africa,Durban
10-Feb-17,ODI # 3834,49619,Suranga Lakmal,10,0,71,3,7.1,23.66,20, South Africa,Centurion
25-Mar-17,ODI # 3855,49619,Suranga Lakmal,8,0,45,2,5.62,22.5,24, Bangladesh,Dambulla
1-Apr-17,ODI # 3858,49619,Suranga Lakmal,8,0,38,2,4.75,19,24, Bangladesh,Colombo (SSC)
3-Jun-17,ODI # 3877,49619,Suranga Lakmal,10,0,51,1,5.1,51,60, South Africa,The Oval
8-Jun-17,ODI # 3882,49619,Suranga Lakmal,10,1,72,1,7.2,72,60, India,The Oval
12-Jun-17,ODI # 3888,49619,Suranga Lakmal,10,0,48,1,4.8,48,60, Pakistan,Cardiff
13-Oct-17,ODI # 3922,49619,Suranga Lakmal,10,0,47,2,4.7,23.5,30, Pakistan,Dubai (DSC)
16-Oct-17,ODI # 3924,49619,Suranga Lakmal,10,0,42,1,4.2,42,60, Pakistan,Abu Dhabi
10-Dec-17,ODI # 3939,49619,Suranga Lakmal,10,4,13,4,1.3,3.25,15, India,Dharamsala
17-Jan-18,ODI # 3955,49619,Suranga Lakmal,10,0,70,1,7,70,60, Zimbabwe,Dhaka
25-Jan-18,ODI # 3965,49619,Suranga Lakmal,7,1,21,3,3,7,14, Bangladesh,Dhaka
