START_DATE,MATCH_ID,PLAYER_ID,BATSMAN,RUNS,BALLS_FACED,STRIKE_RATE,FOURS,SIXS,OPPOSITION,GROUND
10-Jan-10,ODI # 2941,49619,Oshane Thomas,0,8,0,0,0, India,Dhaka
6-Jul-11,ODI # 3169,49619,Oshane Thomas,1,3,33.33,0,0, England,Nottingham
10-Aug-11,ODI # 3175,49619,Oshane Thomas,0,2,0,0,0, Australia,Pallekele
11-Nov-11,ODI # 3212,49619,Oshane Thomas,0,2,0,0,0, Pakistan,Dubai (DSC)
15-Mar-12,ODI # 3260,49619,Oshane Thomas,0,4,0,0,0, Pakistan,Dhaka
20-Mar-12,ODI # 3265,49619,Oshane Thomas,0,1,0,0,0, Bangladesh,Dhaka
11-Jul-13,ODI # 3388,49619,Oshane Thomas,1,5,20,0,0, India,Port of Spain
18-Dec-13,ODI # 3445,49619,Oshane Thomas,1,1,100,0,0, Pakistan,Sharjah
25-Dec-13,ODI # 3448,49619,Oshane Thomas,2,11,18.18,0,0, Pakistan,Abu Dhabi
22-May-14,ODI # 3492,49619,Oshane Thomas,4,5,80,0,0, England,The Oval
23-Jan-15,ODI # 3588,49619,Oshane Thomas,0,3,0,0,0, New Zealand,Dunedin
25-Jan-15,ODI # 3590,49619,Oshane Thomas,3,5,60,0,0, New Zealand,Dunedin
14-Feb-15,ODI # 3599,49619,Oshane Thomas,7,17,41.17,0,0, New Zealand,Christchurch
22-Jul-15,ODI # 3671,49619,Oshane Thomas,1,3,33.33,0,0, Pakistan,Colombo (RPS)
1-Nov-15,ODI # 3701,49619,Oshane Thomas,1,4,25,0,0, West Indies,Colombo (RPS)
26-Dec-15,ODI # 3714,49619,Oshane Thomas,8,9,88.88,0,0, New Zealand,Christchurch
21-Jun-16,ODI # 3751,49619,Oshane Thomas,7,8,87.5,0,0, England,Nottingham
26-Jun-16,ODI # 3755,49619,Oshane Thomas,3,4,75,0,0, England,Bristol
2-Jul-16,ODI # 3758,49619,Oshane Thomas,10,23,43.47,1,0, England,Cardiff
4-Sep-16,ODI # 3776,49619,Oshane Thomas,0,1,0,0,0, Australia,Pallekele
16-Nov-16,ODI # 3805,49619,Oshane Thomas,0,1,0,0,0, West Indies,Harare
28-Jan-17,ODI # 3828,49619,Oshane Thomas,3,12,25,0,0, South Africa,Port Elizabeth
1-Feb-17,ODI # 3830,49619,Oshane Thomas,2,5,40,0,0, South Africa,Durban
4-Feb-17,ODI # 3831,49619,Oshane Thomas,0,6,0,0,0, South Africa,Johannesburg
10-Feb-17,ODI # 3834,49619,Oshane Thomas,20,28,71.42,1,1, South Africa,Centurion
25-Mar-17,ODI # 3855,49619,Oshane Thomas,8,9,88.88,1,0, Bangladesh,Dambulla
28-Mar-17,ODI # 3856,49619,Oshane Thomas,0,1,0,0,0, Bangladesh,Dambulla
1-Apr-17,ODI # 3858,49619,Oshane Thomas,2,1,200,0,0, Bangladesh,Colombo (SSC)
3-Jun-17,ODI # 3877,49619,Oshane Thomas,0,3,0,0,0, South Africa,The Oval
12-Jun-17,ODI # 3888,49619,Oshane Thomas,26,34,76.47,3,0, Pakistan,Cardiff
13-Oct-17,ODI # 3922,49619,Oshane Thomas,7,9,77.77,1,0, Pakistan,Dubai (DSC)
16-Oct-17,ODI # 3924,49619,Oshane Thomas,1,2,50,0,0, Pakistan,Abu Dhabi
20-Oct-17,ODI # 3927,49619,Oshane Thomas,23,30,76.66,3,0, Pakistan,Sharjah
13-Dec-17,ODI # 3941,49619,Oshane Thomas,11,22,50,0,0, India,Mohali
17-Dec-17,ODI # 3942,49619,Oshane Thomas,1,2,50,0,0, India,Visakhapatnam
17-Jan-18,ODI # 3955,49619,Oshane Thomas,5,9,55.55,0,0, Zimbabwe,Dhaka
19-Jan-18,ODI # 3959,49619,Oshane Thomas,1,6,16.66,0,0, Bangladesh,Dhaka
27-Jan-18,ODI # 3967,49619,Oshane Thomas,2,4,50,0,0, Bangladesh,Dhaka
29-Jul-18,ODI # 4025,49619,Oshane Thomas,5,16,31.25,1,0, South Africa,Dambulla
1-Aug-18,ODI # 4027,49619,Oshane Thomas,7,8,87.5,1,0, South Africa,Dambulla
5-Aug-18,ODI # 4029,49619,Oshane Thomas,12,15,80,1,0, South Africa,Pallekele
15-Sep-18,ODI # 4036,49619,Oshane Thomas,20,25,80,1,1, Bangladesh,Dubai (DSC)
1-Nov-18,ODI # 4064,914567,Oshane Thomas,0,2,0,0,0, India,Thiruvananthapuram
9-Dec-18,ODI # 4071,914567,Oshane Thomas,0,2,0,0,0, Bangladesh,Dhaka
27-Feb-19,ODI # 4099,914567,Oshane Thomas,0,1,0,0,0, England,St George's
11-Mar-11,ODI # 3126,276298,Andre Russell,3,7,42.85,0,0, Ireland,Mohali
17-Mar-11,ODI # 3135,276298,Andre Russell,49,46,106.52,2,3, England,Chennai
20-Mar-11,ODI # 3141,276298,Andre Russell,0,5,0,0,0, India,Chennai
28-Apr-11,ODI # 3154,276298,Andre Russell,3,9,33.33,0,0, Pakistan,Bridgetown
11-Jun-11,ODI # 3161,276298,Andre Russell,92,64,143.75,8,5, India,North Sound
13-Jun-11,ODI # 3162,276298,Andre Russell,25,14,178.57,3,1, India,North Sound
13-Oct-11,ODI # 3198,276298,Andre Russell,7,3,233.33,1,0, Bangladesh,Dhaka
18-Oct-11,ODI # 3202,276298,Andre Russell,2,5,40,0,0, Bangladesh,Chattogram
29-Nov-11,ODI # 3217,276298,Andre Russell,22,20,110,2,1, India,Cuttack
2-Dec-11,ODI # 3219,276298,Andre Russell,11,13,84.61,2,0, India,Visakhapatnam
5-Dec-11,ODI # 3221,276298,Andre Russell,40,18,222.22,4,2, India,Ahmedabad
8-Dec-11,ODI # 3223,276298,Andre Russell,29,24,120.83,1,3, India,Indore
